,,,Высокий ,,,средний ,,,маленький ,,,вопрос ,,,,,,,,,,,,,,,
,93,,самолет,  aircraft,1,скорая помощь,  ambulance ,,аккордеон,  accordion,,Национальный парк,,  national park,,,,,,,,,,,,,
,,,американский футбол,  american football,1,муравей,  ant,,колокол,  bell,,Статуя Свободы,,  Statue of Liberty,1,,,,,,,,,,,,
28.01,3,,авокадо,  avocado,1,яблоко,  apple,,головной мозг,  brain,,,,,1,Объект ,Santa Claus ,Statue of Liberty,Cat,Snow,Sea,Flowers,Garden,Aircraft,Baby,Bird,American football
31.01,8,,ребенок ,  baby,1,художник,  artist at work ,,метла,  broom,,,,,,Время,30,31,35,28,40,26,33,30,29,35,39
01.02,8,,детская бутылка ,  baby bottle,1,палитра художника,  artist palette,,цепи,  chains,,,,,,Группа 1,2,0,44,8,56,51,22,11,29,49,4
02.02,8,,детская коляска,baby carriage,1,космонавт,  astronaut,,шахматы,  chess,,,,,,Группа 2,13,8,25,3,16,8,30,16,26,15,6
03.08,8,,бекон,  bacon,1,топор,  axe,,строитель,  construction worker,,,,,,Группа 3,8,2,1,3,4,9,39,19,31,17,14
04.08,3,,бадминтон,  badminton,1,рюкзак,  backpack,,крикет,cricket game,,,,,             подходит ассоциаций ,,23,10,70,14,76,68,91,46,86,81,24
07.08,9,,получение багажа,  baggage claim,1,барсук,  badger,,кинжал,  dagger,,,,,,,"545 объектов, в среднем 35 минут на объектов, 318 часов, в день около 8  объектов - около 2 месяцев + запас неделя ",,,,,,,,,,
08.08,1,,багетный хлеб,  baguette bread,1,банк,  bank,,детектив,  detective,,,,,,,,,,,,,,,,,
16.02,8,,воздушный шар,  balloon,1,корзина,  basket,,додо,  dodo,,,,,,,,,,,,,,,,,
17.02,8,,банан,  banana,1,летучая мышь,  bat,,Дракон,  dragon,,,,,,,,,,,,,,,,,
18.02,2,,денежная купюра,  banknote,1,аккумулятор,  battery,,ухо,  ear,,,,,,,,,,,,,,,,,
,,,барбекю,  barbecue,1,медведь,  bear,,эльф,  elf,,,,,,,,,,,,,,,,,
,,,бейсбол,  baseball,1,бобр,  beaver,,Эл. адрес,  email,,                                                                                                           ,,,,,,,,,,,,,,,
,,,баскетбол,  basketball,1,кровать,  bed,,Факс,  fax machine,,,,,,,,,,,,,,,,,
,,,ванна,  bathtub,1,пчела,  bee,,перо,  feather,,,,,,,,,,,,,,,,,
,,,пляж,  beach,1,жук,  beetle,,джинн,  genie,,,,,,,,,,,,,,,,,
,,,ягоды,  berries,1,болгарский перец,  bell pepper,,крюк,  hook,,,,,,,,,,,,,,,,,
,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,,велосипед,  bicycle,1,зубр,  bison,,хижина,  hut,,,,,,,,,,,,,,,,,
,,,бильярд,  billiard,1,кость,  bone,,морской узел,  knot,,,,,,,,,,,,,,,,,
,,,птица,  bird,1,бумеранг,  boomerang,,лакросс,  lacrosse,,,,,,,,,,,,,,,,,
,,,Торт на день рождения,  birthday cake,1,сапоги,  boots,,легкие,  lungs,,,,,,,,,,,,,,,,,
,,,черника,  blueberries,1,кирпич,brick,,мамонт,  mammoth,,,,,,,,,,,,,,,,,
,,,бодибилдинг,  bodybuilding,1,портфель,  briefcase,,механик,  mechanic,,,,,,,,,,,,,,,,,
,,,книги,  books,1,брокколи,  broccoli,,микроб,  microbe,,,,,,,,,,,,,,,,,
,,,бутылка ,bottle,1,ведро,  bucket,,радио,  radio,,,,,,,,,,,,,,,,,
,,,букет,  bouquet,1,масло,  butter,,поиск в Интернете,  searching internet,,,,,,,,,,,,,,,,,
,,,боулинг,  bowling,1,верблюд,  camel,,швейная иголка,  sewing needle,,,,,,,,,,,,,,,,,
,,,заниматься боксом,boxing,1,морковь,  carrot,,щит,  shield,,,,,,,,,,,,,,,,,
,,,боксерская перчатка,  boxing glove,1,химия,  chemistry,,супергерой,superhero,,,,,,,,,,,,,,,,,
